,Genus,species,Institution,No.,Origin,Element,3rd Molar,2nd Molar,1st Molar,4 Premolar,Side,,,
Neotragini,Raphicerus,campestris,NMB,12170,,maxilla,3644,3645,3646,3647,left,,,
Neotragini,Raphicerus,campestris,NMB,9761,Florisbad,maxilla,3648,3649,3650,,left,,,
Neotragini,Raphicerus,campestris,NMB,9787,Bethulie,maxilla,3651,3652,3653,3654,left,,,
Neotragini,Raphicerus,campestris,NMB,8730,Bethulie,maxilla,3655,3656,3657,3658,left,,,
Neotragini,Raphicerus,campestris,NMB,9430,F. S.,maxilla,3659L,3660L,3661L,,right,,,
Neotragini,Raphicerus,campestris,NMB,12038,Stilbaai,maxilla,3662,3663,3664,,left,melanotis?,,
Neotragini,Raphicerus,campestris,NMB,12169,Askam,maxilla,3680L,3681L,3682L,3683,right,,,
Neotragini,Raphicerus,campestris,NMB,821,Bloemfontein,maxilla,,3684L,3685L,3686,right,,,
Neotragini,Raphicerus,campestris,NMB,9438,Modder River,maxilla,3687,3688,3689,3690,left,,,
Neotragini,Raphicerus,campestris,NMB,4289,,maxilla,3691,3692,3693,3694,left,,,
Neotragini,Raphicerus,campestris,NMB,9471,Van der Kloofdam,maxilla,3695,3696,3697,3698/99,left,,,
Neotragini,Raphicerus,campestris,NMB,9469,Van der Kloofdam,maxilla,3700,3701,3702,3703,left,,,
Neotragini,Raphicerus,campestris,NMB,9470,Van der Kloofdam,maxilla,3704,3708,3709,3710,left,,,
Neotragini,Raphicerus,campestris,TM,11833,,maxilla,5327L,5328L,5329L,5330,right,,,
Neotragini,Raphicerus,campestris,TM,AZ 25,,maxilla,5331,5332,5333,5334,left,start copying here,,
Neotragini,Raphicerus,campestris,TM,AZ 2266,,maxilla,5335,5336,5337,5338,left,,,
Neotragini,Raphicerus,campestris,TM,AZ 282,,maxilla,5339,5340,5341,5342,left,5340  not great,"5341 do not use, way too worn",
Neotragini,Raphicerus,campestris,TM,AZ 690,,maxilla,5343,5344,5345,5346,left,,,
Neotragini,Raphicerus,campestris,TM,AZ 1690,,maxilla,5347,5348,5349,5350,left,,,
Neotragini,Raphicerus,MELANOTIS,TM,AZ 1572,,maxilla,5352,5353,5354,5355,left,did not use,Melanotis,
Neotragini,Raphicerus,campestris,TM,AZ 1830,,maxilla,5356,5357,5358,5359,left,,,
Neotragini,Raphicerus,campestris,TM,8356,,maxilla,5360,5361,5362,5363,left,,,
Neotragini,Raphicerus,campestris,TM,16670,,maxilla,5364,5365,5366,5367,left,,,
Neotragini,Raphicerus,campestris,TM,948,,maxilla,5368,5369,5370,5371,left,,,
Neotragini,Raphicerus,campestris,TM,3820,,maxilla,5372,5373,5374,5375,left,,,
Neotragini,Raphicerus,campestris,TM,11558,,maxilla,5376,5377,5378,5379,left,,,
Neotragini,Raphicerus,campestris,TM,AZ 1119,,maxilla,5380,5381,5382,5383,left,did not use the third molar,don't use 5381,
Neotragini,Raphicerus,campestris,TM,AZ 2301,,maxilla,5384,5385,5386,5387,left,,,
Neotragini,Raphicerus,campestris,TM,AZ 494,,maxilla,5388,5389,5390,5391,left,,,
Neotragini,Raphicerus,campestris,TM,AZ 611,,maxilla,5392,5393,5394,5395,left,,,
Neotragini,Raphicerus,campestris,TM,16668,,maxilla,5396,5397,5398,5399,left,,,
,,,,,,,,,,,,,,
Neotragini,Raphicerus,campestris,TM,16671,,maxilla,5400 RIGHT,5401,5402,5403,left,did not use third molar,used 5401,used 5402
,,,,,,,,,,,,,,
Neotragini,Raphicerus,campestris,TM,3066,,maxilla,5404,5405,5406,5407,left,used this third molar,did not use 5406,
Neotragini,Raphicerus,campestris,TM,11722,,maxilla,5408,5409,5410,5411,left,used this third molar,,
,,,,,,,,,,,,,,
Neotragini,Raphicerus,campestris,TM,3154,,maxilla,5412,5413,5414,5415,left,,,
Neotragini,Raphicerus,campestris,TM,3152,,maxilla,5416,5417 RIGHT,5418,5419,left,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Neotragini,Raphicerus,campestris,NMB,9787,Bethulie,mandible,3665,3666,3667,3668,left,,,
Neotragini,Raphicerus,campestris,NMB,8730,,mandible,3669L,3670L,3671L,3673,right,,,
Neotragini,Raphicerus,campestris,NMB,9761,,mandible,3675,3676,3677,,left,,,
Neotragini,Raphicerus,campestris,NMB,9343,,mandible,3678,,,3679,left,,,
Neotragini,Raphicerus,campestris,NMB,9438,Modder River,mandible,3718/3720,3713,3715,3717,left,,,
Neotragini,Raphicerus,campestris,NMB,12169,Askam,mandible,3721,3723,3724,3725,left,3723 not great,,
Neotragini,Raphicerus,campestris,NMB,4289,,mandible,3726,3727,3728,3729,left,,,
Neotragini,Raphicerus,campestris,NMB,821,Bloemfontein,mandible,3730,3731,3732,3733,left,,,
Neotragini,Raphicerus,campestris,NMB,9469,,mandible,3734,3735,3736,3737,left,,,
Neotragini,Raphicerus,campestris,NMB,9471,,mandible,3738,3739,3740,3741,left,,,
Neotragini,Raphicerus,campestris,NMB,9470,,mandible,3742,3743,3744,3745/46,left,,,
Neotragini,Raphicerus,campestris,NMB,9326,,mandible,3747,3748,3749,3750,left,,,
Neotragini,Raphicerus,campestris,NMB,12170,,mandible,3751L,3752L,3753L,3754,right,,,
Neotragini,Raphicerus,campestris,TM,16668,,mandible,5421,5422,5423,5424,left,,,
Neotragini,Raphicerus,campestris,TM,3154,,mandible,5425,5426,5427,5428,left,,,
Neotragini,Raphicerus,campestris,TM,3152,,mandible,5430,5431,5432,5433,left,,,
Neotragini,Raphicerus,campestris,TM,16671,,mandible,5434,5435,5436,5437/5438,left,,,
Neotragini,Raphicerus,campestris,TM,11722,,mandible,5439,5440,5441,5442,left,,,
Neotragini,Raphicerus,campestris,TM,AZ 611,,mandible,5444,5445,5447,5448,left,,,
Neotragini,Raphicerus,campestris,TM,AZ 494,,mandible,5449,5450,5451,5452,left,,,
Neotragini,Raphicerus,campestris,TM,AZ 1572,,mandible,5453,5454,5455,5456,left,,,
Neotragini,Raphicerus,campestris,TM,AZ 1830,,mandible,5457,5458,5459,5460,left,,,
Neotragini,Raphicerus,campestris,TM,AZ 1491,,mandible,5461,5462,5463,5464,left,,,
Neotragini,Raphicerus,campestris,TM,AZ 2301,,mandible,5465,5466,5467,5468,left,,,
Neotragini,Raphicerus,campestris,TM,AZ 1119,,mandible,5469,5470,5471,5473,left,says 5471 is right but it looks left,,
Neotragini,Raphicerus,campestris,TM,11558,,mandible,5474,5475,5476,5477,left,,,
Neotragini,Raphicerus,campestris,TM,3820,,mandible,5478,5479,5480,5481,left,,,
Neotragini,Raphicerus,campestris,TM,16670,,mandible,5483,5484,5485,5486,left,,,
Neotragini,Raphicerus,campestris,TM,8356,,mandible,5487,5488,5489,5490,left,,,
Neotragini,Raphicerus,campestris,TM,AZ 2591,,mandible,5491,5492,5493,5494,left,,,
,,,,,,,,,,,,,,
Neotragini,Raphicerus,campestris,TM,AZ 1760,,mandible,5495,5496,5497,5498,left,used 5496,used 5497,
Neotragini,Raphicerus,campestris,TM,AZ 690,,mandible,5499,5500,5501,5502,left,,,
